title,type,country,release_year,rating,genres,platform
Little Baby Bum - Humpty Dumpty and Lots More Kids Songs,Movie,,2020,ALL,['Kids'],Amazon Prime
Little Baby Bum - Christmas Holiday Songs For Kids,Movie,,2013,ALL,['Kids'],Amazon Prime
"Lisa Loeb, Nursery Rhyme Parade!",Movie,,2016,G,['Kids'],Amazon Prime
Linsanity,Movie,,2013,PG-13,"['Documentary', 'Sports']",Amazon Prime
Line of Duty,Movie,,2019,R,"['Action', 'Adventure']",Amazon Prime
Lincoln@Gettysburg,Movie,,2014,13,['Documentary'],Amazon Prime
Like Blood,Movie,,2019,18,"['Drama', 'Suspense']",Amazon Prime
Lights Out!,TV Show,,2012,TV-PG,"['Documentary', 'Special Interest']",Amazon Prime
Lights of the Clione,TV Show,,2017,TV-NR,['TV Shows'],Amazon Prime
Lighthouse Island,Movie,,1989,,"['Fantasy', 'Kids', 'Suspense']",Amazon Prime
Light of My Life,Movie,,2019,R,"['Drama', 'Suspense']",Amazon Prime
Life with Murder,Movie,,2010,13,"['Documentary', 'Special Interest']",Amazon Prime
Life With Father - 1947 Color (Digitally Remastered Version),Movie,,2009,13,['Comedy'],Amazon Prime
Life with Elizabeth,TV Show,,1954,13,['Comedy'],Amazon Prime
Life on Fire: Wildlife on the Volcano's Edge,TV Show,,2013,TV-G,"['Documentary', 'Special Interest']",Amazon Prime
Life of Muhammad,TV Show,,2013,TV-PG,"['Documentary', 'Faith and Spirituality', 'Special Interest']",Amazon Prime
Life Lessons from Little Baby Bum,Movie,,2019,ALL,['Kids'],Amazon Prime
Life in Pieces,TV Show,,2019,TV-14,['TV Shows'],Amazon Prime
Life in Color,Movie,,2016,13,"['Arthouse', 'Comedy', 'Romance']",Amazon Prime
Life In A Year (4K UHD),Movie,,2020,PG-13,['Drama'],Amazon Prime
Life In A Tide Pool,TV Show,,2015,ALL,"['Documentary', 'Special Interest']",Amazon Prime
Lies & Alibis,Movie,,2006,R,"['Comedy', 'Drama']",Amazon Prime
LICKS,Movie,,2016,18,['Drama'],Amazon Prime
Liberty City The Movie,Movie,,2019,18,"['Action', 'Drama', 'Suspense']",Amazon Prime
Lewis Black: Black to the Future,Movie,,2016,16,"['Arts', 'Entertainment', 'and Culture', 'Comedy']",Amazon Prime
Let's Sing Again,Movie,,1936,PG,"['Arts', 'Entertainment', 'and Culture']",Amazon Prime
Let's Learn Chinese,TV Show,,2017,TV-Y,"['Animation', 'International', 'Kids']",Amazon Prime
Let's Go Collegiate,Movie,,1941,18,"['Arts', 'Entertainment', 'and Culture']",Amazon Prime
Les Savy Fav,Movie,,2011,NR,"['Arts', 'Entertainment', 'and Culture', 'Music Videos and Concerts']",Amazon Prime
Leo The Wildlife Ranger,TV Show,,2015,ALL,"['Animation', 'Kids']",Amazon Prime
Leo The Last,Movie,,1970,R,['Drama'],Amazon Prime
LEGO City Adventures,TV Show,,2019,TV-Y7,"['Action', 'Animation', 'Kids']",Amazon Prime
Legendary Cities,TV Show,,2014,7+,['TV Shows'],Amazon Prime
Legendary,Movie,,2014,PG-13,['Action'],Amazon Prime
Legend of the Superstition Mountains,TV Show,,2015,TV-PG,['TV Shows'],Amazon Prime
Legend of Fuyao,TV Show,,2018,18,"['Drama', 'Romance']",Amazon Prime
Legend of Bruce Lee,TV Show,,2008,TV-NR,"['Action', 'Adventure', 'International']",Amazon Prime
