title,type,country,release_year,rating,genres,platform
Family Reunion,TV Show,United States,2021,TV-PG,"[""Kids' TV"", 'TV Comedies']",Netflix
"Bob Ross: Happy Accidents, Betrayal & Greed",Movie,,2021,TV-14,['Documentaries'],Netflix
Clickbait,TV Show,,2021,TV-MA,"['Crime TV Shows', 'TV Dramas', 'TV Mysteries']",Netflix
John of God: The Crimes of a Spiritual Healer,TV Show,,2021,TV-MA,"['Crime TV Shows', 'Docuseries', 'International TV Shows']",Netflix
Motel Makeover,TV Show,,2021,TV-14,"['International TV Shows', 'Reality TV']",Netflix
Open Your Eyes,TV Show,,2021,TV-MA,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",Netflix
Post Mortem: No One Dies in Skarnes,TV Show,,2021,TV-MA,"['International TV Shows', 'TV Comedies', 'TV Dramas']",Netflix
Really Love,Movie,United States,2020,TV-MA,"['Dramas', 'Independent Movies', 'Romantic Movies']",Netflix
The November Man,Movie,"United States, United Kingdom",2014,R,['Action & Adventure'],Netflix
The Old Ways,Movie,United States,2020,TV-MA,['Horror Movies'],Netflix
The River Runner,Movie,,2021,TV-MA,"['Documentaries', 'Sports Movies']",Netflix
The Water Man,Movie,United States,2021,PG,"['Children & Family Movies', 'Dramas']",Netflix
Wheel of Fortune,TV Show,United States,2019,TV-G,['Reality TV'],Netflix
Count Me In,Movie,United Kingdom,2021,TV-MA,"['Documentaries', 'Music & Musicals']",Netflix
Oggy Oggy,TV Show,,2021,TV-Y,"[""Kids' TV"", 'TV Comedies']",Netflix
Untold: Caitlyn Jenner,Movie,,2021,TV-PG,"['Documentaries', 'LGBTQ Movies', 'Sports Movies']",Netflix
Boomika,Movie,,2021,TV-14,"['Horror Movies', 'International Movies', 'Thrillers']",Netflix
Boomika (Hindi),Movie,,2021,TV-14,"['Horror Movies', 'International Movies', 'Thrillers']",Netflix
Boomika (Malayalam),Movie,,2021,TV-14,"['Horror Movies', 'International Movies', 'Thrillers']",Netflix
Boomika (Telugu),Movie,,2021,TV-14,"['Horror Movies', 'International Movies', 'Thrillers']",Netflix
The Witcher: Nightmare of the Wolf,Movie,,2021,TV-MA,"['Action & Adventure', 'Anime Features']",Netflix
Manifest,TV Show,United States,2021,TV-14,"['TV Dramas', 'TV Mysteries', 'TV Sci-Fi & Fantasy']",Netflix
Comedy Premium League,TV Show,,2021,TV-MA,"['International TV Shows', 'TV Comedies']",Netflix
Everything Will Be Fine,TV Show,,2021,TV-MA,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Comedies']",Netflix
Gunshot,Movie,,2018,TV-14,"['Dramas', 'International Movies', 'Thrillers']",Netflix
Korean Cold Noodle Rhapsody,TV Show,,2021,TV-PG,"['Docuseries', 'International TV Shows']",Netflix
Man in Love,Movie,,2021,TV-MA,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
Sweet Girl,Movie,United States,2021,R,"['Action & Adventure', 'Dramas']",Netflix
The Chair,TV Show,,2021,TV-MA,"['TV Comedies', 'TV Dramas']",Netflix
The Loud House Movie,Movie,,2021,TV-Y7,"['Children & Family Movies', 'Comedies', 'Music & Musicals']",Netflix
A Faraway Land,Movie,,2020,TV-PG,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
Like Crazy,Movie,United States,2011,PG-13,"['Dramas', 'Independent Movies', 'Romantic Movies']",Netflix
Black Island,Movie,,2021,TV-MA,"['International Movies', 'Thrillers']",Netflix
Bombay,Movie,India,1995,TV-14,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
Go! Go! Cory Carson,TV Show,United States,2021,TV-Y,"[""Kids' TV""]",Netflix
Memories of a Murderer: The Nilsen Tapes,Movie,,2021,TV-MA,"['Documentaries', 'International Movies']",Netflix
Nneka The Pretty Serpent,Movie,,2020,TV-14,"['Dramas', 'International Movies']",Netflix
O Kadhal Kanmani,Movie,,2015,TV-14,"['Dramas', 'International Movies', 'Romantic Movies']",Netflix
Out of my league,Movie,,2020,TV-MA,"['Comedies', 'Dramas', 'International Movies']",Netflix
Pahuna,Movie,"India, Nepal",2018,TV-PG,"['Comedies', 'Dramas', 'International Movies']",Netflix
The Defeated,TV Show,,2020,TV-MA,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",Netflix
The Secret Diary of an Exchange Student,Movie,,2021,TV-14,"['Comedies', 'International Movies', 'Romantic Movies']",Netflix
Untold: Deal With the Devil,Movie,,2021,TV-MA,"['Documentaries', 'LGBTQ Movies', 'Sports Movies']",Netflix
Mother Goose Club,TV Show,United States,2016,TV-Y,"[""Kids' TV""]",Netflix
Walk of Shame,Movie,United States,2014,R,"['Comedies', 'Independent Movies']",Netflix
Rascal Does Not Dream of Bunny Girl Senpai,TV Show,Japan,2018,TV-14,"['Anime Series', 'International TV Shows', 'Romantic TV Shows']",Netflix
The Creative Indians,TV Show,India,2020,TV-MA,"['Docuseries', 'International TV Shows']",Netflix
